Content,Sentiment
say tale magical tale followed early childhood evoking warm memory heart character take many whimsical place making want scene example market many different flavor lore loved exotic dancer accompanied steel drum story line wonderful wanted badly landsbury decide keep precocious child also stay mr brown find half spell men le armor could win war still child inside movie appeal inner child like movie definite favorite time hope child able watch classic swept away transported another time,pos
first film little ambition nothing stick screen bad version back future zero charm accepted bill ted nitwit joke get hammered audience long break surprise spoiler warning today standard fun shunned upon release sad considering talent involved first time get photographer face editor fugitive production designer burton early work sound designer matrix writer made shallow first outing something deep since shunned fanbase public director probably decided style extreme fit material like death becomes catch 22 dare smart like movie simple buy probably since dared different took 12 producer pull good nice self reference towards keanu airhead messiah see also arnold schwarzenegger joss hate creation much hate counterpart make hatred evil b good robot us vocabulary original lesser copy depreciation language duality motif nowhere else evident photography style lot high low angle even use roy brocksmith total recall emphasize point choice motif know started genre maybe ghostbusters used pretty well even boil 7 game death battleship club film self reference even present game death clue smarter tarantino brook notice premier magazine cover end bill ted movie ironic also death nomolos villain die hard lethal weapon sequel still minor nit nothing compared original music film different medium make sense many script revolve around former particularly teen market carlin great comedian movie wasted also daring effort show even cracking gay joke kill cat despite looking like nickelodeon production incredibly interesting movie got beavis butt head heaven mugged three people final analysis midrange material,pos
never forget saw title video store way back always big weird al fan saw video rented watched young appreciate al subtle humor satire time remember much later old enough understand watching al fan especially earlier work thoroughly enjoy film done mtv esque rockumentary style tell true sometimes exaggerated tale al got 1985 love like brand humor importantly music,pos
absolutely love show saw second episode first watching first episode could see people turned first first episode humor best struggle properly start series however still like light humorous attitude show character develop much episode become truly enjoyable character first episode really accurately represent rest show really quite good episode bad mean show progress becomes better better watch episode passing judgement quality show,pos
film come along raise bar every film genre film caliber influence many film following release year come chinese ghost story fall category arguably one best horror film made 1980 possibly one best ever made filmmaker crafted movie appeal every horror fan story engrossing original villain appropriately menacing frightening set creepy atmospheric even little blood gore satisfy splatter fan house let horror label scare fan genre film easily fit many different category screenwriter deftly blended drama comedy horror kung fu romance genre delicious deluxe cinematic pizza chinese ghost story beautiful epic love story told thankfully without gratuitous nudity explicit sex scene ruined many hollywood love story put romantic element story sit back revel fast paced swordplay wire fu enough actor leslie cheung wu provide enough humorous situation satiate appetite comedy film offer something every film fan director siu tung ching producer tsui hark assembled truly amazing cast film leslie cheung prof gifted actor also talented singer charming physical comedian possibly think performer cheung could portrayed ling choi sin better except maybe chow yun fat joey wang enchanting lit su seen enslaved spirit steal heart cheung character portrayal title character truly haunting memorable wu hilarious cantankerous taoist aid young lover technical level film impressive even today standard direction superb wish today hollywood executive would seek talented artist like siu tung ching rather falling back usual mtv video pepsi commercial director cinematography gorgeous commend cinematographer make film look good pivotal scene take place dead night special effect make top notch fact creature effect film blow away shoddy cgi ghoul goblin become commonplace modern horror film since release chinese ghost story spawned two worthy sequel full length animated movie countless imitation none film followed copied able capture magic classic however film required viewing horror fan anyone looking great way spend 95 minute time 10 10,pos
stewart kane gabriel byrne vanity fair head local jindabyne australia fishing buddy weekend rest recreation relaxation stewart discovers aboriginal woman body floating face river thing appear turned worst largest casualty weekend men commonsense hike ravine instead finish fishing weekend great catch head report body town men life quickly turn mess local medium swarm accusation aboriginal prejudice rear local native stewart wife claire laura linney exorcism emily rose sens deeper meaning husband friend battle mental illness amidst chaos life young woman medium spectacle splayed morgue slab murder subsequent dumping water symbolic lay beneath town jindabyne division men woman black white social outcast people seem understand going two young kid stewart claire son led around half breed aussie mother killed also year young girl life grandparent trying let go mother best way discovery new body seems strangely enough method accomplish underlying current jindabyne surmised everything everyone jindabyne township feel lurks beneath surface yet none willing dive murky water take look around symbolism seen nearby lake used recreation swimming said contain old town jindabyne surface none claire force movie interesting bit convoluted far many story line needed exploring get done many loose thread acting okay filming terrible wobbly camera grainy dark shot generalized sloppiness hurt overall production enjoy symbolic film northfork one time favorite vein jindabyne needed peak head turbid water could see problem simply happen,neg
used wesley snipe name clue go ahead watch new untried film appears first time snipe method film recommendation failed utterly first come see review snipe ought ashamed allow otherwise earnest effort wasted contractor one worst flick fear come bitter fruition feared shaky blurry pseudo documentary unconsidered directing editing style first brought attention paul greengrass directed bloody sunday might propagate film greengass sickening style brought nauseatingly new height last two bourne trilogy film fear come pas opinion film made really bad motion sickness inducing method mistake blurry swipe action enhancement bourne franchise greengrass loving call cash cow apparently convinced others hollywood go unprofessional quest fast big buck read lip hollywood type action need clearly photographed presented merely hinted poor lazy cinematographic technique contractor go far emulate bourne ultimatum inanely repeated sound bite hope juvenile apparently evaluated audience sense example hear cop radio crackling yankee romeo one time scream chance good hear certainly ever view contractor recommend yet see contractor content tranquility lack affords life 2 10 tempted lower 1,neg
celebration christmas evolved year whether one concentrate religious secular tradition time people supposed behave little better somehow slipped past one ebenezer scrooge merchant money lender 19th century london nephew point uncle keep christmas way scrooge feel whole thing humbug humanity scrooge driven long ago hard case whole lot like 20th century counterpart mr potter bedford fall new york charles dickens told tale redemption late u lonely ghost three spirit visit scrooge show christmas carol timeless holiday classic sometimes forget much social commentary 19th century great britain oliver twist character film middle lower class cratchits couple rung street people oliver twist struggle stay still love happiness radiate home thanks guy bob cratchit work like george bailey whole lot good life reminded much ebenezer scrooge needed wake call potentiality still good old world patrick stewart live performance filmed play pretty much taken part scrooge george c scott capture old miser pretty well film meanness trace sadness make u root change scott join fine tradition people like reginald owen alastair sim done great interpretation scrooge among supporting role particularly enjoyed david warner bob cratchit edward woodward hearty stern spirit christmas present according imdb one 32 version christmas carol made archived one best,pos
prophecy ii say completely abandoned originality first film simply made chris walken splatter film even written original writer seen nr 1 watch nr 2 real disappointment seen nr 1 watch nr 2 go see nr 1 experience something original fun,neg
really hoping would funny show given hype clever preview clip talk hype even heard interview show creator bbc world today show broadcast world unfortunately show even come close delivering joke obvious kind sound kind funny first time hear seem lame given new treatment twist character one dimensional acting well mediocre nice classic cbc recipe one always fails muslim think would stupid believe white character white probably offended little fact almost white character portrayed either bigoted ignorant making fun white people problem better comedy rooted problem funny show canada bursting funny people many export hollywood regular basis come producer show find,neg
movie probably would get 7 8 tell truth seen trailer kind knowledge film since virtually surprise almost perfect piece edgy entertainment get strong 9 read comment briefly saw someone else almost experience advised watch good advice read rest risk spoiling eva mendez play head strong success starved network tv programmer took joke made co worker brain storming tv program idea russian roulette seriously story follows documentary style pursuit make happen,pos
last big thing wonderful satirical film sardonically whip pop culture point humorous self desctruction character interesting fun laugh sympathize brings introduction character liked best simon geist man late 30 early 40 creates pop culture driven editorial magazine called next big thing thing magazine doesnt really exist excuse simon get close actor interviewing bitch slap silly insulting way buying pop culture live female friend darla also writing magazine real mainly simon well father darla genuinely loveable loathable character depending view muted neurotic behavior magda prostitute character liked best brent flat character much tedra music video queen bunch b rated rock band still character weave interesting web together movie question motivation people wonderful film suggest see indie art house crowd mark word,pos
rented movie thinking looked like wonderfully delightful historical piece got piece pure garbage movie confusing spot choppy almost every spot dreadful spot mira sorvino portrayal queen playing young male scholar depressing best ben kingsley stripped knighthood even considering film one project fiona shaw definitely stick playing petunia dursley least harry potter movie entertaining thing call play within movie cinematography look like college kid took class cinematography 101 failed miserably almost every scene movie chopped sort effect end result course cheesiest bit editing ever seen jay rodan almost good agis bad bad script work rachael stirling give best effort almost gullible lady waiting end really wish blockbuster video gave refund glad spend 10 buck watching fiasco theater performing marivaux play since 18th century make wonder many people age best nap work hear play snoring thank goodness modern convenience dvd player skip past boring awful scene guess mean watched beginning end,neg
reason give movie 8 10 movie opinion perfect little b picture taut story well told always intrigued alexander knox seen movie play wilhelm grimm sad little man turn monster betrays everything everybody without ounce remorse performance one chilling performance ever seen since world war 2 actor played nazi evil type film occasionally nominated oscar imagine since made war academy felt like honoring performance like would like honoring evil knox put kind performance man bitter consumed guilt think nothing making others suffer still get marsha hunt usually play filbert gibbet social butterfly cast type probably best performance ever seen give maybe oscar worthy best career nothing enjoyed slight role often played prof task heavier drama like human drama story story fate suffered hand nazi highly recommend fine little film,pos
